Artikelnummer;Artikeltext;Stk/Karton;
61000b;Vegeta Streuer 200 g;12;
61001;Vegeta 250 g;16;
61002;Vegeta 500 g;12;
61003b;Podravka Vegeta 1 kg (10er);10;
61004;Vegeta 2 kg;8;
61009;Vegeta 10 kg;1;
61010;Vegeta 5 kg;1;
61011;Vegeta Natural 5 kg;1;
61019;Podravka Ajvar 370 ml scharf;12;
61020;Podravka Ajvar 370 ml mild;12;
61021;Podravka Ajvar 720 ml mild;12;
61022;Podravka Ajvar 720 ml scharf;12;
61030;Podravka Hühnersuppe mit Nudeln 62 g;35;
61031;Podravka Rindersuppe mit Nudeln 65 g;35;
61032;Podravka Hausgemachte Fleischsuppe 70 g;14;
61037;Podravka Hühner-Brühwürfel 120g;15;
61038;Podravka Rinder-Brühwürfel 120g;15;
61056;Podravka Frutolino 200g;14;
61057;Podravka Cokolino 200 g;14;
61096b;Vitaminka Hagebutten- und Apfelkonfitüre 314 ml;6;
61130c;Vegeta pikant Streuer 150g;12;
61134;Vegeta Asia Streuer 150g;12;
61136;Vegeta Grill Streuer 170g;12;
61137;Vegeta Pommes Frites Streuer 150g;12;
61138;Vegeta Natural Streuer 150g;12;
61174;Podravka Rindergulasch 400 g;15;
61175b;Podravka Hühnerpastete 95g;22;
61177;Podravka Rinderpastete 100 g;15;
61177b;Podravka Rinderpastete 95g;22;
61179;Podravka Hühnerpastete 50 g;30;
61180;Podravka Rinderhaschee 200 g;15;
61197;Podravka Vegeta Natural 200 g;10;
61200b;Podravka Rindsgulasch 300 g;15;
61202b;Podravka Hühnerpastete 135 g;15;
61207;Kaffee Minas gemahlen 500 g;12;
61235;Vitaminka Gefüllte Paprika 2400 g (4er);4;
61239b;Vitaminka Paprika geb. mit Knoblauch 720 ml;12;
61240;Vitaminka Lutenica Gemüsemischung 580 ml;6;
61266;Vegeta 2in1 Chili mix 100 g;12;
61267;Vegeta 2in1Paprika mix 100 g;12;
61327;Kras Tierreichschokolade 15 g;80;
61389;Kras Dorina Schokolade mit Reis 130 g;10;
61391;Coka Zdrepceva krv Rotwein 0.75 l;6;
61458;Zdrepceva krv Rotwein 1 l;6;
62008;Podr. Rinderaufschnitt 200 g;15;
62099c;Bambi Lane Kekse 600 g;6;
62102b;Eurokrem flüssig 90 g;24;
62103b;Eurokrem Block 90 g;44;
62104c;Bambi Lane Kekse 300 g;12;
62105c;Bambi Lane Kekse gemahlen 300 g;14;
62110;Takovo Eurokrem flüssig 500 g;12;
62118b;Kras Kiki Toffee 100 g;20;
62119b;Kras Domacica Kekse 300 g;16;
62121;Kras Jadro Napolitanke Schnitten 430 g;14;
62122b;Kras Moto gefülltes Teegebäck 360 g;12;
62125b;Lasta Strudel mit Feigenmarmelade 364 g;7;
62126;Cedevita Instantgetränk Orange 200 g;6;
62217b;Kras Bronhi Toffee 100 g;20;
62220b;Sudzuk aus Rindfleisch 450 g;7;
62285;Pionir Gefüllte Bonbons Negro 100 g;18;
62326;Podravka Rindergulasch 200 g;15;
62327;Podravka Rindergulasch 300 g Halal;15;
62328;Podravka Rindergulasch 840 g;12;
62329;Podravka Fleischsauce Mesni Ragu 200 g;15;
62362;Eurovafel 180g;10;
62365;Podravka Hochzeitssuppe 58 g;10;
62366;Podravka Vegeta Natural 800 g;10;
62367b;Vegeta pikant 400 g;12;
62384a;Podravka Hühnerpastete 95g pikant 3+1 Gratis;4;
62389;Vegeta 1kg + Ajvar 195g;8;
62394;Vegeta 800g Natural  + Ajvar 195g;8;
62410;Kutjevo Grasevina Weißwein 0.75 l;6;
62427;Grand Kaffee Gold 200g;30;
62428;Grand Kaffee Gold 500g;6;
62431;Rinderrauchfleisch;6;
62440;Rinderfrühstücksfleisch Pikant 200g;15;
62441;Rindergulasch 400g Pikant;15;
62446;Vegeta Fant Bohnensuppen und Eintopfgerichte 60 g;20;
62447;Vegeta Fant Cevapcici und Hamburger 40 g;24;
62448;Vegeta Fant Gulasch und Paprikasch 65 g;22;
62449;Vegeta Fant für gefüllte Paprika 60 g;22;
62450;Vegeta Fant für Fisch und Paprikasch 60 g;22;
62452;Podravka Hühnerpastete pikant 50g;30;
62453;Podravka Bohnensuppe mit Wurst 400g;15;
62458;Eva Thunfsich-Filets in Pflanzenöl 115g;30;
62459;Eva Sardinen in Pflanzenöl 115g;30;
62460;Podravka Dolcela Prinzess-Krapfen 250g;7;
62475;Takovo Isleri mit Eurokrem 125 g;24;
62480;Eva Thunfischpastete 4x50g 3+1 Gratis;20;
62530;Delicata Hühneraufstrich 50g;16;
62531;Delicata Hühneraufstrich Halal 50g;16;
62532;Delicata Hühneraufstrich Pikant 50g;16;
62540;Delicata Hühneraufstrich 95g;12;
62541;Delicata Hühneraufstrich Halal 95g;12;
62542;Delicata Hühneraufstrich Pikant 95g;12;
62543;Delicata Thunfischaufstrich 95g;12;
